YEAR,TMAX_C,TMIN_C,TAVG_C,PRCP_MM,TEMP_RANGE,GDD_10,FROST_DAY,HEAT_STRESS_DAY,RAIN_DAY
1964,19.64895687482498,9.149691963035565,0.06882525903108373,24440.3,10.499264911789414,383.1,1755,432,2717
1965,18.93675067634914,8.894069485974654,0.6425103232236936,29849.8,10.042681190374484,3694.5,1662,366,3245
1966,19.378430421832793,9.289429936967514,1.4973124610376118,31204.5,10.089000484865275,9744.9,1414,365,3203
1967,19.311555494049266,8.967049543315804,1.4093551065596457,25554.7,10.344505950733462,8028.2,1522,340,2702
1968,19.37479540559943,9.435936826992103,0.0,28761.8,9.938858578607322,0.0,1107,339,3016
1969,18.472978007020558,9.089153950856078,0.0,36389.7,9.383824056164482,0.0,1464,315,3558
1970,19.462824675324676,9.112852907961603,0.0,26354.9,10.349971767363071,0.0,1569,339,2764
1971,18.536589221886167,8.923735221336266,0.0,31159.7,9.612854000549904,0.0,1678,183,3445
1972,18.058778227385456,8.767419396945568,0.0,36111.6,9.291358830439892,0.0,1238,131,3812
1973,19.25282674454991,8.505658704495671,10.973730051110879,28839.2,10.747168040054241,81560.6,2996,362,3264
1974,18.973851333851336,8.554933954933954,11.631116291116292,33276.0,10.41891737891738,82387.2,2347,412,3678
1975,19.017934588499415,8.717766212561866,12.107133016990664,34038.3,10.300168375937547,89579.2,2528,497,4034
1976,19.045321505538013,8.762281361198816,12.448283466145442,39052.2,10.283040144339196,93977.1,2504,386,4456
1977,18.827058351312026,9.084692188048768,12.487266067934375,43654.2,9.742366163263258,90898.1,1744,137,4720
1978,19.205635597373323,8.974894638831717,12.123150053905714,39687.2,10.230740958541606,94251.5,2139,491,4551
1979,19.07957707844995,9.201226871477731,12.318757169218493,46828.0,9.87835020697222,94937.0,2191,378,4784
1980,19.205837870538414,8.839861867311958,12.231357128453318,34024.1,10.365976003226457,92886.9,2437,534,3824
1981,20.061904289610712,9.406555913711877,12.95997520456236,31880.4,10.655348375898836,103790.0,2321,506,3857
1982,19.716941153335625,9.454884223981121,13.46291726070498,34710.6,10.262056929354506,107860.9,2009,450,3754
1983,19.984534585410717,9.28744856963067,13.35567549252142,33442.0,10.697086015780048,111669.8,2625,415,3557
1984,18.912334133085245,8.629647945943299,12.650031826861872,40247.4,10.282686187141946,98791.7,2507,407,4558
1985,19.993614955086187,9.069570284049526,12.737028404952657,32196.6,10.92404467103666,110573.4,2759,649,3789
1986,19.355513624779455,8.721260537149579,12.37745049990198,33037.5,10.634253087629876,100139.4,2771,475,4023
1987,19.9129950614893,9.41556599205965,13.231524159969014,39975.3,10.49742906942965,112481.4,2488,598,4206
1988,19.68523155757517,9.058488833027168,12.999318379580394,33732.3,10.626742724548002,106014.5,2542,596,4102
1989,20.658366978577874,9.807272122737851,13.40175746924429,39845.1,10.851094855840023,116833.3,2082,684,4241
1990,20.36915923145919,9.59200774205731,13.090322428362365,30410.4,10.777151489401879,116709.6,2367,715,3785
1991,19.468937577907756,8.918664301467063,12.220481350081503,33418.1,10.550273276440695,101831.3,2504,910,3979
1992,19.476880672907857,8.809195456921541,12.729824644774984,32856.3,10.667685215986314,104695.8,2600,587,3688
1993,19.081168647425013,8.525830032069422,12.183804942463686,34046.6,10.555338615355593,97191.3,2777,551,4167
1994,20.398658037498812,9.521761682687732,11.954178166936329,30843.4,10.876896354811079,102381.9,2017,867,3608
1995,20.861215588800825,9.897716081226845,12.617928996857852,33120.6,10.963499507573982,111972.0,2025,560,3854
1996,19.595941011235954,9.360739700374532,12.594016853932585,47721.0,10.235201310861424,105589.8,1998,366,4981
1997,20.664703044338303,10.263713996236792,13.642630385487529,41529.8,10.40098904810151,117199.8,1491,255,4482
1998,20.378813186813186,9.579599511599511,13.275829059829059,28990.0,10.799213675213675,111073.3,2137,711,3642
1999,19.923488689547582,9.263572542901716,13.1649375975039,33630.9,10.659916146645866,110652.4,2801,519,3963
2000,20.128955866523143,9.150210392406303,11.490977590762306,35890.8,10.978745474116842,92922.2,2386,584,4119
2001,20.24720243184193,9.61480003799753,13.057357271777333,33548.7,10.6324023938444,113214.9,2265,661,3986
2002,20.137068428865586,9.671790451563473,13.092802758224392,39374.7,10.465277977302112,107502.9,1700,407,4600
2003,20.537981924814922,10.026040765311029,13.0631429670224,39167.9,10.511941159503893,114599.3,2041,1092,4443
2004,20.00445565969719,9.38618120644076,12.15211727950012,32281.3,10.61827445325643,103296.8,2419,646,3939
2005,20.223456730537187,9.148395192818187,12.55054780636131,28812.6,11.075061537719002,111410.2,3116,794,3466
2006,20.630434994635717,10.107944016385447,13.043294645469619,36031.5,10.52249097825027,114882.4,2114,828,3919
2007,19.952484925111847,9.162230110873372,12.184910523244504,30740.3,10.790254814238475,98116.2,2151,447,3727
2008,19.276703007518798,8.778135338345864,8.944003759398496,51289.7,10.498567669172933,91731.1,3159,517,5931
2009,20.1521207237565,9.286784850926672,8.887821405025273,45429.3,10.86533587282983,100963.9,3123,930,5347
2010,19.04763361001893,8.772123926023008,8.696774428425805,56554.6,10.275509683995923,98032.1,3825,824,6284
